,a,x,y
0,1,128,7635
1,1,128,209
2,1,128,2173
3,1,128,1048
4,1,128,1063
5,1,128,1101
6,1,128,899
7,1,128,933
8,1,128,1858
9,1,128,2388
10,1,128,684
11,1,128,3007
12,1,128,4896
13,1,128,2751
14,1,128,3423
15,1,128,394
16,1,128,1299
17,1,128,937
18,1,128,463
19,1,128,1288
20,1,128,794
21,1,128,397
22,1,128,4292
23,1,128,1223
24,1,128,662
25,1,128,4537
26,1,128,13129
27,1,128,2158
28,1,128,211
29,1,128,2276
30,1,128,882
31,1,128,1018
32,1,128,443
33,1,128,4598
34,1,128,2781
35,1,128,2269
36,1,128,521
37,1,128,349
38,1,128,3037
39,1,128,1108
40,1,128,1271
41,1,128,2407
42,1,128,228
43,1,128,282
44,1,128,3013
45,1,128,1409
46,1,128,971
47,1,128,1936
48,1,128,806
49,1,128,1670
50,1,128,1460
51,1,128,1396
52,1,128,1361
53,1,128,525
54,1,128,1324
55,1,128,2437
56,1,128,2051
57,1,128,2986
58,1,128,572
59,1,128,219
60,1,128,2849
61,1,128,1012
62,1,128,2146
63,1,128,2712
64,1,128,6553
65,1,128,687
66,1,128,2798
67,1,128,3411
68,1,128,769
69,1,128,716
70,1,128,810
71,1,128,2332
72,1,128,2925
73,1,128,1796
74,1,128,4834
75,1,128,423
76,1,128,7888
77,1,128,1073
78,1,128,1406
79,1,128,515
80,1,128,1192
81,1,128,1647
82,1,128,785
83,1,128,18539
84,1,128,923
85,1,128,2048
86,1,128,2756
87,1,128,3333
88,1,128,527
89,1,128,3916
90,1,128,587
91,1,128,750
92,1,128,7354
93,1,128,172
94,1,128,3133
95,1,128,1092
96,1,128,18440
97,1,128,1488
98,1,128,1320
99,1,128,724
100,1,128,754
101,1,128,1234
102,1,128,804
103,1,128,112
104,1,128,109
105,1,128,940
106,1,128,387
107,1,128,356
108,1,128,4518
109,1,128,127
110,1,128,1873
111,1,128,547
112,1,128,109
113,1,128,2822
114,1,128,49
115,1,128,88
116,1,128,77
117,1,128,622
118,1,128,623
119,1,128,7543
120,1,128,584
121,1,128,410
122,1,128,456
123,1,128,2565
124,1,128,703
125,1,128,350
126,1,128,334
127,1,128,375
128,1,128,1146
129,1,128,743
130,1,128,2319
131,1,128,1278
132,1,128,475
133,1,128,325
134,1,128,1664
135,1,128,7918
136,1,128,823
137,1,128,1188
138,1,128,914
139,1,128,4378
140,1,128,96
141,1,128,809
142,1,128,1263
143,1,128,860
144,1,128,3996
145,1,128,1841
146,1,128,773
147,1,128,131
148,1,128,250
149,1,128,2977
150,1,128,1798
151,1,128,1176
152,1,128,5837
153,1,128,174
154,1,128,3404
155,1,128,814
156,1,128,130
157,1,128,2892
158,1,128,247
159,1,128,1186
160,1,128,1556
161,1,128,149
162,1,128,84
163,1,128,836
164,1,128,8950
165,1,128,10695
166,1,128,1012
167,1,128,1059
168,1,128,512
169,1,128,180
170,1,128,1271
171,1,128,3382
172,1,128,631
173,1,128,2650
174,1,128,147
175,1,128,551
176,1,128,734
177,1,128,420
178,1,128,542
179,1,128,7208
180,1,128,220
181,1,128,3098
182,1,128,806
183,1,128,202
184,1,128,3677
185,1,128,633
186,1,128,2847
187,1,128,1628
188,1,128,153
189,1,128,1299
190,1,128,156
191,1,128,2783
192,1,128,2345
193,1,128,132
194,1,128,2563
195,1,128,633
196,1,128,738
197,1,128,3866
198,1,128,230
199,1,128,605
200,1,128,336
201,1,128,352
202,1,128,805
203,1,128,725
204,1,128,688
205,1,128,835
